Symbol,Side,Entry Date,Exit Date,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Commission,Notes
AAPL,LONG,2026-04-01,2026-04-01,09:32:00,14:15:00,172.50,175.80,100,330.00,4.50,Strong open rode the breakout
TSLA,SHORT,2026-04-02,2026-04-02,10:00:00,11:45:00,245.00,238.50,50,325.00,3.75,Gap down continuation
NVDA,LONG,2026-04-03,2026-04-03,09:45:00,15:30:00,878.00,891.00,20,260.00,2.00,AI momentum play
AMZN,LONG,2026-04-04,2026-04-04,09:35:00,10:20:00,198.00,195.50,30,-75.00,2.25,Failed breakout stopped out
SPY,LONG,2026-04-07,2026-04-07,09:30:00,09:55:00,519.00,522.50,50,175.00,3.00,Morning momentum
META,SHORT,2026-04-08,2026-04-08,13:00:00,15:00:00,512.00,507.00,25,125.00,1.875,Faded afternoon rip
AAPL,LONG,2026-04-09,2026-04-09,09:31:00,11:00:00,174.00,171.50,100,-250.00,4.50,Bad read cut quick
QQQ,LONG,2026-04-10,2026-04-10,10:30:00,14:00:00,448.00,453.00,40,200.00,3.00,Trend day
MSFT,LONG,2026-04-11,2026-04-11,09:32:00,12:00:00,418.00,423.50,30,165.00,2.25,Held through lunch
GOOGL,SHORT,2026-04-14,2026-04-14,11:00:00,13:30:00,163.50,159.00,50,225.00,3.75,Distribution pattern
TSLA,LONG,2026-04-15,2026-04-15,09:35:00,10:00:00,241.00,236.50,40,-180.00,3.00,Fakeout
SPY,SHORT,2026-04-16,2026-04-16,14:00:00,15:30:00,523.00,526.00,60,-180.00,4.50,Fade failed
NVDA,LONG,2026-04-17,2026-04-17,09:40:00,15:00:00,885.00,901.00,15,240.00,2.25,Breakout continuation
AAPL,LONG,2026-04-22,2026-04-22,09:30:00,11:30:00,176.00,180.50,100,450.00,4.50,Earnings day gap
META,LONG,2026-04-23,2026-04-23,09:32:00,14:00:00,508.00,519.00,20,220.00,3.00,Post-earnings trend
AMD,SHORT,2026-04-24,2026-04-24,10:00:00,11:30:00,158.00,152.50,40,220.00,3.00,Weak relative strength
QQQ,LONG,2026-04-25,2026-04-25,09:45:00,15:30:00,451.00,454.50,50,175.00,3.75,Slow grind day
TSLA,LONG,2026-04-28,2026-04-28,10:15:00,13:00:00,248.00,244.00,60,-240.00,4.50,Faded after pop
SPY,LONG,2026-04-29,2026-04-29,09:30:00,10:15:00,525.00,529.50,80,360.00,6.00,Strong open gap up
MSFT,SHORT,2026-04-30,2026-04-30,14:00:00,15:30:00,422.00,418.00,30,120.00,2.25,Late day fade
